team_id,team_name
team_2e53b2134e185_19ccf18cfee,Mira Loma A
team_a9b7ddff4f714_19ccf398947,Mira Loma A
team_497ac2dfcd8438_19cce31cc06,Mira Loma A
team_b5583b0884d008_19cce536136,Mira Loma A
team_3e2b239509119_19cce77f3ae,Mira Loma A
team_0cf6bde17cf72_19cce9aaa8f,Mira Loma A
team_631d9f9b299608_19cceb75330,Mira Loma A
team_762f0638b262b_19cce326f27,Mira Loma B
team_6d50d357096e08_19cce4ef453,Mira Loma B
team_4d3ef2b925ad48_19cce6d88d5,Mira Loma B
team_239261b4fb963_19cce98142e,Mira Loma B
team_f7d5f48d354cf_19ccebbc176,Mira Loma B
team_c9d311123c746_19ccf18cfee,Mission San Jose A
team_fe498e3a088b18_19ccf3a9db6,Mission San Jose A
team_65eb3bc3238a4_19ccf8d0306,Mission San Jose A
team_aec6230e6ee16_19ccfbe4710,Mission San Jose A
team_32a38d685e34f8_19ccfdd30ae,Mission San Jose A
team_1eb0a21507112_19cd002db02,Mission San Jose A
team_0ce11bd506bb18_19cd02d3adf,Mission San Jose A
team_80c6cfa879801_19cce36f63f,Mission San Jose A
team_d35872dfe4752_19cce52374b,Mission San Jose A
team_d6a1098fb5fc2_19cce757f54,Mission San Jose A
team_1eac7839d14048_19cce9c9cda,Mission San Jose A
team_9f03df9666fc9_19ccebe4a8e,Mission San Jose A
team_b7cb3ae68e1c6_19ccf15317b,Mission San Jose B
team_e4fac6c46b997_19ccf3d8c73,Mission San Jose B
team_677c710a82eb48_19ccf5e397c,Mission San Jose B
team_a44ec6c9c07678_19ccf8737e0,Mission San Jose B
team_3ba365aa2ae25_19ccfbe4710,Mission San Jose B
team_a1bcb2d668ba3_19cce2c7a86,Mission San Jose B
team_6faeefbf1769c8_19cce576247,Mission San Jose B
team_6e30467c977718_19cce746e58,Mission San Jose B
team_61021ae232f0b8_19cce9eeb81,Mission San Jose B
team_2f28606e0fb5b8_19ccec05ebb,Mission San Jose B
team_0a5e7162581278_19cce1e38ae,Mountain House A
team_4c12d17f741de8_19cce61fc9a,Mountain House A
team_2d7dafac5d945_19cce6d6663,Mountain House A
team_12c9e065475db_19cce912f10,Mountain House A
team_a80131df8ef2b_19cceaf4593,Mountain House A
team_e9921473bce2f8_19cce22824b,Mountain House B
team_446b422ac37ae8_19cce54ced2,Mountain House B
team_104b77adf4c5b8_19cce657dff,Mountain House B
team_33c70c90a389a8_19cce999db5,Mountain House B
team_4c2541d9666fe8_19ccebe933a,Mountain House B
team_b818f2be6fa7_19ccf185352,Palo Alto
team_06bf05ee78d478_19ccf3d8c73,Palo Alto
team_ba5b287adf852_19ccf8ce79f,Palo Alto
team_a8602beff1ff88_19ccfb2ae13,Palo Alto
team_f37aa9d7150618_19ccfdd30ae,Palo Alto
team_678e834cf93cc8_19cce326f27,Palo Alto
