game_id,slot,team_id,team_name,score,tossup_points,bonus_points,tossups_correct,tossups_incorrect,tossups_no_penalty,bonuses_correct,bonuses_incorrect,bonuses_unheard
124,2,26,Archbishop Mitty B,28,8,20,3,1,19,2,1,20
125,1,21,BASIS Fremont,56,16,40,6,2,15,4,2,17
125,2,10,Davidson B,54,24,30,7,1,15,3,4,16
126,1,5,BASIS Silicon Valley A,194,64,130,17,1,5,13,4,6
126,2,42,Foothill B,-8,-8,0,2,4,17,0,2,21
127,1,24,BASIS Silicon Valley B,96,36,60,11,2,10,6,5,12
127,2,41,Evergreen Valley,30,20,10,5,0,18,1,4,18
128,1,29,California,22,12,10,5,2,16,1,4,18
128,2,13,Irvington A,118,48,70,13,1,9,7,6,10
129,1,32,Chico B,50,20,30,7,2,14,3,4,16
129,2,27,Irvington B,64,24,40,6,0,17,4,2,17
130,1,19,Cupertino A,32,12,20,7,4,12,2,5,16
130,2,40,El Camino B,40,20,20,7,2,14,2,5,16
131,1,8,Dougherty Valley A,146,56,90,14,0,9,9,5,9
131,2,46,Mira Loma B,-4,-4,0,2,3,18,0,2,21
132,1,17,Folsom City,122,52,70,15,2,6,7,8,8
132,2,48,Quarry Lane B,10,0,10,2,2,19,1,1,21
133,1,6,Foothill A,90,40,50,12,2,9,5,7,11
133,2,36,Homestead,82,32,50,8,0,15,5,3,15
134,1,33,Quarry Lane A,12,12,0,4,1,18,0,4,19
134,2,11,GSB A,164,44,120,14,3,6,12,2,9
135,1,28,GSB B,64,24,40,6,0,17,4,2,17
135,2,45,Lynbrook B,124,44,80,11,0,12,8,3,12
136,1,43,Los Gatos,0,0,0,1,1,21,0,1,22
136,2,16,Mira Loma A,122,52,70,14,1,8,7,6,10
137,1,3,Lynbrook A,190,60,130,17,2,4,13,4,6
137,2,31,Mountain House B,2,-8,10,1,3,19,1,0,22
138,1,15,Mission San Jose A,140,40,100,14,4,5,10,4,9
138,2,44,Miller,70,20,50,7,2,14,5,2,16
139,1,37,Mountain House A,78,28,50,8,1,14,5,0,18
139,2,34,Stanford Online,102,32,70,11,3,9,7,0,16
140,1,47,San Mateo,14,4,10,1,0,22,1,0,22
140,2,12,Saratoga,168,48,120,16,4,3,12,4,7
