game_id,slot,team_id,team_name,category,tossup_points,bonus_points,tossups_correct,tossups_incorrect,tossups_no_penalty,bonuses_correct,bonuses_incorrect,bonuses_unheard
18,2,8,Benjamin Franklin,BIOLOGY,4,10,1,0,3,1,0,3
18,2,8,Benjamin Franklin,CHEMISTRY,12,10,3,0,1,1,2,1
18,2,8,Benjamin Franklin,EARTH_SPACE,4,0,1,0,3,0,1,3
18,2,8,Benjamin Franklin,MATH,8,0,2,0,2,0,2,2
18,2,8,Benjamin Franklin,PHYSICS,0,0,0,0,4,0,0,4
19,1,17,Deep Run,BIOLOGY,4,20,2,1,1,2,0,2
19,1,17,Deep Run,CHEMISTRY,-4,0,0,1,3,0,0,4
19,1,17,Deep Run,EARTH_SPACE,8,0,2,0,2,0,2,2
19,1,17,Deep Run,MATH,8,20,2,0,2,2,0,2
19,1,17,Deep Run,PHYSICS,4,10,2,1,1,1,1,2
19,2,37,Thomas Jefferson,BIOLOGY,4,20,2,1,1,2,0,2
19,2,37,Thomas Jefferson,CHEMISTRY,16,40,4,0,0,4,0,0
19,2,37,Thomas Jefferson,EARTH_SPACE,0,0,1,1,2,0,1,3
19,2,37,Thomas Jefferson,MATH,0,0,0,0,4,0,0,4
19,2,37,Thomas Jefferson,PHYSICS,4,10,2,1,1,1,1,2
20,1,3,Arcadia A,BIOLOGY,0,0,0,0,4,0,0,4
20,1,3,Arcadia A,CHEMISTRY,0,0,0,0,4,0,0,4
20,1,3,Arcadia A,EARTH_SPACE,8,0,2,0,2,0,2,2
20,1,3,Arcadia A,MATH,4,10,1,0,3,1,0,3
20,1,3,Arcadia A,PHYSICS,4,10,1,0,3,1,0,3
20,2,38,Varun Clemens,BIOLOGY,16,40,4,0,0,4,0,0
20,2,38,Varun Clemens,CHEMISTRY,16,30,4,0,0,3,1,0
20,2,38,Varun Clemens,EARTH_SPACE,0,0,1,1,2,0,1,3
20,2,38,Varun Clemens,MATH,0,0,1,1,2,0,1,3
20,2,38,Varun Clemens,PHYSICS,12,20,3,0,1,2,1,1
21,1,6,BISV A,BIOLOGY,8,30,3,1,0,3,0,1
21,1,6,BISV A,CHEMISTRY,8,10,2,0,2,1,1,2
21,1,6,BISV A,EARTH_SPACE,4,0,2,1,1,0,2,2
21,1,6,BISV A,MATH,-4,0,0,1,3,0,0,4
21,1,6,BISV A,PHYSICS,8,10,3,1,0,1,2,1
21,2,9,Bridgeland,BIOLOGY,4,0,1,0,3,0,1,3
21,2,9,Bridgeland,CHEMISTRY,4,0,1,0,3,0,1,3
21,2,9,Bridgeland,EARTH_SPACE,4,10,1,0,3,1,0,3
21,2,9,Bridgeland,MATH,4,0,1,0,3,0,1,3
21,2,9,Bridgeland,PHYSICS,4,0,1,0,3,0,1,3
22,1,41,Ward Melville,BIOLOGY,8,0,2,0,2,0,2,2
22,1,41,Ward Melville,CHEMISTRY,4,0,1,0,3,0,1,3
22,1,41,Ward Melville,EARTH_SPACE,8,0,2,0,2,0,2,2
22,1,41,Ward Melville,MATH,12,20,3,0,1,2,1,1
22,1,41,Ward Melville,PHYSICS,4,0,1,0,3,0,1,3
22,2,43,Woodlands,BIOLOGY,4,10,1,0,3,1,0,3
22,2,43,Woodlands,CHEMISTRY,8,20,2,0,2,2,0,2
22,2,43,Woodlands,EARTH_SPACE,4,10,1,0,3,1,0,3
22,2,43,Woodlands,MATH,0,0,0,0,4,0,0,4
22,2,43,Woodlands,PHYSICS,4,0,1,0,3,0,1,3
23,1,19,Eastlake,BIOLOGY,4,10,2,1,1,1,1,2
23,1,19,Eastlake,CHEMISTRY,8,10,2,0,2,1,1,2
23,1,19,Eastlake,EARTH_SPACE,4,10,1,0,3,1,0,3
23,1,19,Eastlake,MATH,0,10,1,1,2,1,0,3
23,1,19,Eastlake,PHYSICS,0,0,0,0,4,0,0,4
23,2,42,Whitney Young,BIOLOGY,4,0,1,0,3,0,1,3
23,2,42,Whitney Young,CHEMISTRY,8,10,2,0,2,1,1,2
23,2,42,Whitney Young,EARTH_SPACE,8,0,2,0,2,0,2,2
23,2,42,Whitney Young,MATH,12,30,3,0,1,3,0,1
23,2,42,Whitney Young,PHYSICS,16,20,4,0,0,2,2,0
24,1,8,Benjamin Franklin,BIOLOGY,4,0,1,0,3,0,1,3
24,1,8,Benjamin Franklin,CHEMISTRY,0,0,0,0,4,0,0,4
24,1,8,Benjamin Franklin,EARTH_SPACE,4,0,1,0,3,0,1,3
24,1,8,Benjamin Franklin,MATH,4,10,1,0,3,1,0,3
24,1,8,Benjamin Franklin,PHYSICS,8,10,2,0,2,1,1,2
24,2,33,North Hollywood B,BIOLOGY,12,20,3,0,1,2,1,1
24,2,33,North Hollywood B,CHEMISTRY,4,20,2,1,1,2,0,2
24,2,33,North Hollywood B,EARTH_SPACE,4,20,2,1,1,2,0,2
24,2,33,North Hollywood B,MATH,8,20,2,0,2,2,0,2
24,2,33,North Hollywood B,PHYSICS,4,10,1,0,3,1,0,3
25,1,15,Collierville B,BIOLOGY,8,10,2,0,2,1,1,2
25,1,15,Collierville B,CHEMISTRY,8,20,2,0,2,2,0,2
25,1,15,Collierville B,EARTH_SPACE,0,0,0,0,4,0,0,4
25,1,15,Collierville B,MATH,4,0,1,0,3,0,1,3
25,1,15,Collierville B,PHYSICS,8,20,2,0,2,2,0,2
25,2,21,Hunter,BIOLOGY,4,10,1,0,3,1,0,3
25,2,21,Hunter,CHEMISTRY,8,10,2,0,2,1,1,2
25,2,21,Hunter,EARTH_SPACE,16,30,4,0,0,3,1,0
25,2,21,Hunter,MATH,12,30,3,0,1,3,0,1
25,2,21,Hunter,PHYSICS,8,0,2,0,2,0,1,3
26,1,14,Collierville A,BIOLOGY,0,0,1,1,2,0,1,3
26,1,14,Collierville A,CHEMISTRY,16,30,4,0,0,3,1,0
26,1,14,Collierville A,EARTH_SPACE,12,10,3,0,1,1,1,2
26,1,14,Collierville A,MATH,12,20,3,0,1,2,1,1
26,1,14,Collierville A,PHYSICS,4,0,1,0,3,0,1,3
26,2,40,WWPS B,BIOLOGY,8,20,2,0,2,2,0,2
26,2,40,WWPS B,CHEMISTRY,0,0,0,0,4,0,0,4
26,2,40,WWPS B,EARTH_SPACE,4,10,1,0,3,1,0,3
26,2,40,WWPS B,MATH,0,0,0,0,4,0,0,4
26,2,40,WWPS B,PHYSICS,4,0,1,0,3,0,1,3
27,1,17,Deep Run,BIOLOGY,4,10,1,0,3,1,0,3
27,1,17,Deep Run,CHEMISTRY,0,0,0,0,4,0,0,4
27,1,17,Deep Run,EARTH_SPACE,0,0,1,1,2,0,1,3
27,1,17,Deep Run,MATH,-4,0,0,1,3,0,0,4
27,1,17,Deep Run,PHYSICS,4,0,1,0,3,0,1,3
27,2,30,Morgantown,BIOLOGY,4,10,1,0,3,1,0,3
27,2,30,Morgantown,CHEMISTRY,12,20,3,0,1,2,1,1
27,2,30,Morgantown,EARTH_SPACE,8,10,2,0,2,1,1,2
27,2,30,Morgantown,MATH,8,20,3,1,0,2,1,1
27,2,30,Morgantown,PHYSICS,0,10,1,1,2,1,0,3
28,1,18,Doral Academy,BIOLOGY,8,10,2,0,2,1,1,2
28,1,18,Doral Academy,CHEMISTRY,8,20,2,0,2,2,0,2
28,1,18,Doral Academy,EARTH_SPACE,0,0,0,0,4,0,0,4
28,1,18,Doral Academy,MATH,16,30,4,0,0,3,1,0
28,1,18,Doral Academy,PHYSICS,0,0,1,1,2,0,1,3
28,2,31,North Allegheny,BIOLOGY,8,20,2,0,2,2,0,2
28,2,31,North Allegheny,CHEMISTRY,4,20,2,1,1,2,0,2
